2025/01/23 04:16:36 FCS_263_InstaKYC_API Server Started in :28595 ...
2025/01/23 04:16:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:16:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:16:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:06 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:06 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:06 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:17:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:06 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:06 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:06 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:18:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:06 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:06 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:06 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:19:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:06 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:06 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:06 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:20:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:06 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:06 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:06 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:36 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:36 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:21:36 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:22:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:23:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:24:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:25:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:26:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:27:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:28:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:29:37 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:07 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:07 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:07 NKYCDB >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:37 MARIAEKYCPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
2025/01/23 04:30:37 MARIAFTPRD >> Open connections: 0, In use: 0, Idle: 0, Wait count: 0, Wait duration: 0s
